buses,stds
bus_10001,0.20018717
bus_10022,0.200016943
bus_10025,0.199546857
bus_10033,0.198048035
bus_10035,0.198021063
bus_10093,0.197735991
bus_10228,0.200514364
bus_10525,0.200362998
bus_10558,0.200864711
bus_10570,0.200478543
bus_10600,0.199931682
bus_10677,0.208283941
bus_10750,0.201046566
bus_11016,0.201223511
bus_13000,0.195486256
bus_13366,0.19292094
bus_13420,0.198078997
bus_13446,0.200802788
bus_13504,0.19697618
bus_20000,0.194117858
bus_20007,0.193891946
bus_20026,0.188822467
bus_20136,0.187929431
bus_21121,0.187688432
bus_21647,0.187675623
bus_23017,0.185457248
bus_23054,0.186743871
bus_23060,0.186698045
bus_23263,0.175350697
bus_23377,0.184978571
bus_25160,0.181037971
bus_25289,0.18112132
bus_25375,0.180911687
bus_25403,0.181022357
bus_25439,0.181023526
bus_25598,0.181001324
bus_25618,0.181089433
bus_25675,0.180992303
bus_25714,0.180801399
bus_25830,0.181206054
bus_26100,0.180866531
bus_26133,0.181845107
bus_28078,0.180759977
bus_28099,0.180683114
bus_28122,0.180806791
bus_28365,0.178562626
bus_28549,0.177857076
bus_28667,0.178603572
bus_30001,0.189206858
bus_30144,0.17530178
bus_30146,0.175282598
bus_30205,0.175243925
bus_30207,0.175331017
bus_30220,0.175358409
bus_30221,0.175206523
bus_30374,0.175430957
bus_40001,0.176413098
bus_40003,0.176411984
bus_40004,0.176413402
bus_40006,0.175728299
bus_40007,0.175728299
bus_40008,0.175728299
bus_40050,0.175577649
bus_40160,0.174965553
bus_40162,0.174946692
bus_40279,0.174948679
bus_40281,0.174912998
bus_40367,0.174724715
bus_40369,0.174724246
bus_40595,0.17406441
bus_40602,0.181676751
bus_40691,0.181676751
bus_40787,0.174438281
bus_40844,0.175027478
bus_40961,0.174936465
bus_40994,0.174981238
bus_50000,0.172214022
bus_50007,0.165840947
bus_50024,0.172789583
bus_50196,0.163207448
bus_50316,0.164927182
bus_53000,0.18801608
bus_53002,0.18801608
bus_53012,0.174795862
bus_60000,0.156330362
bus_60003,0.154109168
bus_60194,0.18801608
bus_60577,0.18801608
bus_70000,0.163772092
bus_70016,0.234768416
bus_70063,0.257250449
bus_70155,0.164379717
bus_74001,0.19865869
bus_74053,0.210292423
bus_74104,0.194406
bus_74132,0.279350413
bus_74235,0.217037214
bus_77001,0.338081974
bus_77173,0.21386458
bus_80007,0.174795862
